Row.names,seqnames,start,end,width,annotation,geneChr,geneStart,geneEnd,geneLength,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME,ASE1,ASE2,GeneID,Ctrl.bam,V5.bam,difference,FC,L2FC
chr15:25051475-25051745,chr15,25051475,25051745,271,Promoter (<=1kb),15,25051477,25051571,95,100033413,ENST00000384335.1,0,ENSG00000207063,SNORD116-1,"small nucleolar RNA, C/D box 116-1",,,controlledV5_peak_329,0,961,961,961,9.908392621
chr2:74154059-74154316,chr2,74154059,74154316,258,3' UTR,2,74148079,74151952,3874,100507171,ENST00000656407.1,5980,ENSG00000225439,BOLA3-DT,BOLA3 divergent transcript,,,controlledV5_peak_575,0,31,31,31,4.95419631
chr17:21198291-21198758,chr17,21198291,21198758,468,3' UTR,17,21184385,21193265,8881,25979,ENST00000581463.1,13906,ENSG00000109016,DHRS7B,dehydrogenase/reductase 7B,,,controlledV5_peak_423,0,20,20,20,4.321928095
chr17:744815-745029,chr17,744815,745029,215,3' UTR,17,747844,752038,4195,50628,ENST00000574958.1,7009,ENSG00000179409,GEMIN4,gem nuclear organelle associated protein 4,,,controlledV5_peak_403,0,18,18,18,4.169925001
chr10:27134830-27135032,chr10,27134830,27135032,203,Promoter (1-2kb),10,27123547,27136337,12791,10730,ENST00000463270.1,1305,ENSG00000136758,YME1L1,YME1 like 1 ATPase,,,controlledV5_peak_142,0,17,17,17,4.087462841
chr12:122603021-122603245,chr12,122603021,122603245,225,Promoter (<=1kb),12,122602823,122604997,2175,9735,ENST00000541466.1,198,ENSG00000184445,KNTC1,kinetochore associated 1,,,controlledV5_peak_271,0,17,17,17,4.087462841
chr13:38361446-38361796,chr13,38361446,38361796,351,3' UTR,13,38053769,38350259,296491,100874188,ENST00000451826.2,-11187,ENSG00000223685,LINC00571,long intergenic non-protein coding RNA 571,,,controlledV5_peak_283,0,16,16,16,4
chr19:10259752-10260000,chr19,10259752,10260000,249,3' UTR,19,10254620,10259042,4423,51073,ENST00000590702.1,5132,ENSG00000105364,MRPL4,mitochondrial ribosomal protein L4,,,controlledV5_peak_511,1,32,31,16,4
chr7:55470700-55471140,chr7,55470700,55471140,441,3' UTR,7,55428056,55431406,3351,55915,ENST00000466041.1,42644,ENSG00000132434,LANCL2,LanC like glutathione S-transferase 2,,,controlledV5_peak_924,0,16,16,16,4
chr9:35066673-35066870,chr9,35066673,35066870,198,Promoter (<=1kb),9,35065251,35066817,1567,7415,ENST00000681562.1,0,ENSG00000165280,VCP,valosin containing protein,,,controlledV5_peak_999,0,16,16,16,4
